datetime,feature_1,feature_2,feature_3,observation,prediction,feature_4,feature_5,feature_6
11/25/97,621,7.031450484,0.532734309,27.013,17.2716,0.070796108,8,8218.2
6/24/99,621,7.031450484,0.532734309,27.013,49.1348,0.070796108,8,8218.2
4/24/00,621,7.031450484,0.532734309,27.013,143.1417,0.070796108,8,8218.2
11/9/04,621,7.735733059,0.498496046,27.013,19.1775,0.070796108,8,8218.2
8/1/07,621,7.559694957,0.463034761,27.013,87.7772,0.070796108,8,8218.2
9/29/10,621,7.510944573,0.512090883,27.013,134.5183,0.070796108,8,8218.2
7/5/97,621,7.031450484,0.532734309,34.56,42.687,0.070796108,8.25,8218.2
12/9/00,621,7.031450484,0.532734309,34.56,17.57,0.070796108,8.25,8218.2
8/29/06,621,7.516260985,0.527659703,34.56,101.2079,0.070796108,8.25,8218.2
11/24/06,621,7.516260985,0.527659703,34.56,17.912,0.070796108,8.25,8218.2
8/16/08,621,7.733860277,0.501219311,34.56,44.5678,0.070796108,8.25,8218.2
8/21/08,621,7.733860277,0.501219311,34.56,97.5846,0.070796108,8.25,8218.2
9/1/08,621,7.733860277,0.501219311,34.56,159.2992,0.070796108,8.25,8218.2
9/3/10,621,7.510944573,0.512090883,34.56,76.3578,0.070796108,8.25,8218.2
5/19/01,621,7.06104093,0.518690999,45.65,74.4375,0.070796108,8.5,8218.2
5/20/01,621,7.06104093,0.518690999,45.65,91.0899,0.070796108,8.5,8218.2
11/22/02,621,7.220890051,0.547730285,45.65,19.2095,0.070796108,8.5,8218.2
9/5/06,621,7.516260985,0.527659703,45.65,87.515,0.070796108,8.5,8218.2
5/20/07,621,7.559694957,0.463034761,45.65,106.408,0.070796108,8.5,8218.2
9/23/07,621,7.559694957,0.463034761,45.65,139.5425,0.070796108,8.5,8218.2
9/6/08,621,7.733860277,0.501219311,45.65,88.9791,0.070796108,8.5,8218.2
11/10/97,621,7.031450484,0.532734309,60.284,25.8966,0.070796108,8.75,8218.2
11/16/02,621,7.220890051,0.547730285,60.284,23.5063,0.070796108,8.75,8218.2
6/23/04,621,7.735733059,0.498496046,60.284,44.7801,0.070796108,8.75,8218.2
7/31/04,621,7.735733059,0.498496046,60.284,81.0672,0.070796108,8.75,8218.2
8/29/11,621,7.700328526,0.446006687,60.284,101.6765,0.070796108,8.75,8218.2
10/21/12,621,8.239747402,0.51450533,60.284,60.5792,0.070796108,8.75,8218.2
8/29/99,621,7.031450484,0.532734309,78.461,131.2454,0.070796108,9,8218.2
7/22/00,621,7.031450484,0.532734309,78.461,67.5731,0.070796108,9,8218.2
11/21/01,621,7.06104093,0.518690999,78.461,27.9569,0.070796108,9,8218.2
10/13/03,621,7.497837963,0.525457435,78.461,124.815,0.070796108,9,8218.2
9/8/06,621,7.516260985,0.527659703,78.461,72.7049,0.070796108,9,8218.2
9/13/06,621,7.516260985,0.527659703,78.461,169.0894,0.070796108,9,8218.2
8/14/09,621,7.757837757,0.486878693,78.461,48.9423,0.070796108,9,8218.2
9/21/15,621,7.391037972,0.556961347,88.886,358.8302,0.070796108,9.125,8218.2
7/18/07,621,7.559694957,0.463034761,100.181,76.673,0.070796108,9.25,8218.2
11/2/07,621,7.559694957,0.463034761,100.181,87.9398,0.070796108,9.25,8218.2
10/10/08,621,7.733860277,0.501219311,100.181,60.1148,0.070796108,9.25,8218.2
10/11/08,621,7.733860277,0.501219311,100.181,66.9942,0.070796108,9.25,8218.2
11/13/08,621,7.733860277,0.501219311,100.181,52.9072,0.070796108,9.25,8218.2
7/17/09,621,7.757837757,0.486878693,100.181,43.7291,0.070796108,9.25,8218.2
9/29/99,621,7.031450484,0.532734309,125.445,107.7181,0.070796108,9.5,8218.2
10/15/04,621,7.735733059,0.498496046,125.445,81.8094,0.070796108,9.5,8218.2
9/14/05,621,7.732450805,0.410191869,125.445,138.6979,0.070796108,9.5,8218.2
10/30/06,621,7.516260985,0.527659703,125.445,65.2969,0.070796108,9.5,8218.2
11/23/07,621,7.559694957,0.463034761,125.445,31.373,0.070796108,9.5,8218.2
10/15/10,621,7.510944573,0.512090883,125.445,762.4561,0.070796108,9.5,8218.2
8/1/11,621,7.700328526,0.446006687,125.445,84.7607,0.070796108,9.5,8218.2
8/22/11,621,7.700328526,0.446006687,125.445,65.5557,0.070796108,9.5,8218.2
11/24/11,621,7.700328526,0.446006687,125.445,18.7538,0.070796108,9.5,8218.2
9/29/12,621,8.239747402,0.51450533,125.445,348.5066,0.070796108,9.5,8218.2
6/17/99,621,7.031450484,0.532734309,154.251,52.3808,0.070796108,9.75,8218.2
8/10/01,621,7.06104093,0.518690999,154.251,255.951,0.070796108,9.75,8218.2
9/10/01,621,7.06104093,0.518690999,154.251,59.1448,0.070796108,9.75,8218.2
8/28/03,621,7.497837963,0.525457435,154.251,88.1711,0.070796108,9.75,8218.2
8/23/04,621,7.735733059,0.498496046,154.251,143.4443,0.070796108,9.75,8218.2
10/9/05,621,7.732450805,0.410191869,154.251,71.5323,0.070796108,9.75,8218.2
8/4/09,621,7.757837757,0.486878693,154.251,69.4232,0.070796108,9.75,8218.2
11/4/01,621,7.06104093,0.518690999,186.601,78.6372,0.070796108,10,8218.2
7/8/06,621,7.516260985,0.527659703,186.601,111.2034,0.070796108,10,8218.2
10/15/09,621,7.757837757,0.486878693,186.601,304.5022,0.070796108,10,8218.2
7/24/97,621,7.031450484,0.532734309,222.494,123.4446,0.070796108,10.25,8218.2
11/13/99,621,7.031450484,0.532734309,222.494,110.8841,0.070796108,10.25,8218.2
10/13/02,621,7.220890051,0.547730285,222.494,55.1536,0.070796108,10.25,8218.2
8/8/08,621,7.733860277,0.501219311,222.494,72.9878,0.070796108,10.25,8218.2
9/17/97,621,7.031450484,0.532734309,261.93,110.1968,0.070796108,10.5,8218.2
10/6/02,621,7.220890051,0.547730285,261.93,144.694,0.070796108,10.5,8218.2
5/1/99,621,7.031450484,0.532734309,304.91,106.9138,0.070796108,10.75,8218.2
10/24/00,621,7.031450484,0.532734309,304.91,268.9322,0.070796108,10.75,8218.2
10/25/00,621,7.031450484,0.532734309,304.91,206.3494,0.070796108,10.75,8218.2
7/17/06,621,7.516260985,0.527659703,304.91,55.607,0.070796108,10.75,8218.2
8/20/12,621,8.239747402,0.51450533,304.91,72.4354,0.070796108,10.75,8218.2
10/1/97,621,7.031450484,0.532734309,351.433,318.7242,0.070796108,11,8218.2
9/15/08,621,7.733860277,0.501219311,351.433,145.3803,0.070796108,11,8218.2
10/18/00,621,7.031450484,0.532734309,401.499,240.3124,0.070796108,11.25,8218.2
8/8/06,621,7.516260985,0.527659703,401.499,106.4531,0.070796108,11.25,8218.2
10/19/11,621,7.700328526,0.446006687,401.499,247.9042,0.070796108,11.25,8218.2
10/6/06,621,7.516260985,0.527659703,512.26,157.1388,0.070796108,11.75,8218.2
7/18/97,621,7.031450484,0.532734309,572.956,151.7255,0.070796108,12,8218.2
10/16/00,621,7.031450484,0.532734309,704.977,925.2432,0.070796108,12.5,8218.2
7/18/06,621,7.516260985,0.527659703,776.303,67.7817,0.070796108,12.75,8218.2
4/2/98,621,7.031450484,0.532734309,7.356,0.5954,0.070796108,5,8218.2
4/3/98,621,7.031450484,0.532734309,7.356,5.71,0.070796108,5,8218.2
3/22/99,621,7.031450484,0.532734309,7.356,1.8356,0.070796108,5,8218.2
3/17/04,621,7.735733059,0.498496046,7.356,2.2412,0.070796108,5,8218.2
1/30/05,621,7.732450805,0.410191869,7.356,3.7182,0.070796108,5,8218.2
3/28/05,621,7.732450805,0.410191869,7.356,99.672,0.070796108,5,8218.2
3/29/05,621,7.732450805,0.410191869,7.356,58.8354,0.070796108,5,8218.2
5/8/05,621,7.732450805,0.410191869,7.356,3.4246,0.070796108,5,8218.2
2/4/98,621,7.031450484,0.532734309,2.572,0.1003,0.070796108,5.25,8218.2
5/30/98,621,7.031450484,0.532734309,2.572,3.0587,0.070796108,5.25,8218.2
2/15/02,621,7.220890051,0.547730285,2.572,0.0281,0.070796108,5.25,8218.2
3/13/02,621,7.220890051,0.547730285,2.572,0.5192,0.070796108,5.25,8218.2
4/3/02,621,7.220890051,0.547730285,2.572,8.0604,0.070796108,5.25,8218.2
4/14/02,621,7.220890051,0.547730285,2.572,37.1343,0.070796108,5.25,8218.2
2/2/03,621,7.497837963,0.525457435,2.572,2.3378,0.070796108,5.25,8218.2
2/28/06,621,7.516260985,0.527659703,2.572,5.5115,0.070796108,5.25,8218.2
3/11/06,621,7.516260985,0.527659703,2.572,8.0045,0.070796108,5.25,8218.2
2/5/07,621,7.559694957,0.463034761,2.572,3.4364,0.070796108,5.25,8218.2
2/11/07,621,7.559694957,0.463034761,2.572,3.2576,0.070796108,5.25,8218.2
2/18/07,621,7.559694957,0.463034761,2.572,3.0064,0.070796108,5.25,8218.2
2/19/07,621,7.559694957,0.463034761,2.572,2.8961,0.070796108,5.25,8218.2
2/20/07,621,7.559694957,0.463034761,2.572,2.8666,0.070796108,5.25,8218.2
2/22/07,621,7.559694957,0.463034761,2.572,3.6333,0.070796108,5.25,8218.2
3/10/07,621,7.559694957,0.463034761,2.572,2.852,0.070796108,5.25,8218.2
3/30/15,621,7.391037972,0.556961347,2.575,5.9602,0.070796108,5.25,8218.2
6/19/97,621,7.031450484,0.532734309,0.687,0.9623,0.070796108,5.5,8218.2
1/23/98,621,7.031450484,0.532734309,0.687,2.2374,0.070796108,5.5,8218.2
2/14/98,621,7.031450484,0.532734309,0.687,23.9069,0.070796108,5.5,8218.2
2/15/98,621,7.031450484,0.532734309,0.687,10.5125,0.070796108,5.5,8218.2
6/22/98,621,7.031450484,0.532734309,0.687,7.8891,0.070796108,5.5,8218.2
1/4/99,621,7.031450484,0.532734309,0.687,8.8012,0.070796108,5.5,8218.2
2/22/00,621,7.031450484,0.532734309,0.687,22.1635,0.070796108,5.5,8218.2
2/10/01,621,7.06104093,0.518690999,0.687,1.9381,0.070796108,5.5,8218.2
4/28/01,621,7.06104093,0.518690999,0.687,16.1901,0.070796108,5.5,8218.2
5/20/03,621,7.497837963,0.525457435,0.687,47.9723,0.070796108,5.5,8218.2
1/19/04,621,7.735733059,0.498496046,0.687,10.1592,0.070796108,5.5,8218.2
1/20/04,621,7.735733059,0.498496046,0.687,7.3245,0.070796108,5.5,8218.2
12/29/04,621,7.735733059,0.498496046,0.687,4.6945,0.070796108,5.5,8218.2
1/31/06,621,7.516260985,0.527659703,0.687,7.0045,0.070796108,5.5,8218.2
2/28/07,621,7.559694957,0.463034761,0.687,12.2566,0.070796108,5.5,8218.2
4/18/07,621,7.559694957,0.463034761,0.687,16.5839,0.070796108,5.5,8218.2
2/21/08,621,7.733860277,0.501219311,0.687,3.7776,0.070796108,5.5,8218.2
2/12/10,621,7.510944573,0.512090883,0.687,3.7038,0.070796108,5.5,8218.2
4/2/10,621,7.510944573,0.512090883,0.687,12.2297,0.070796108,5.5,8218.2
5/5/10,621,7.510944573,0.512090883,0.687,52.9711,0.070796108,5.5,8218.2
5/6/10,621,7.510944573,0.512090883,0.687,58.8997,0.070796108,5.5,8218.2
6/12/10,621,7.510944573,0.512090883,0.687,44.1462,0.070796108,5.5,8218.2
1/17/11,621,7.700328526,0.446006687,0.687,5.5947,0.070796108,5.5,8218.2
3/14/11,621,7.700328526,0.446006687,0.687,2.8923,0.070796108,5.5,8218.2
3/21/11,621,7.700328526,0.446006687,0.687,6.8793,0.070796108,5.5,8218.2
